Designator,Function,Value,Footprint,Quantity,Price,Amount,Order,Link
PCB,Main PCB,,119x312,5,8.934,44.67,Yes,https://robu.in/product/online-pcb-manufacturing-service/
Keycaps,Purple keycaps,,,1,11.48,11.48,Yes,https://curiositycaps.in/products/macarons-cherry-pbt-keycaps?_pos=368&_fid=c796727f4&_ss=c
Keys,Akko v3 lavender,,,2,11.48,22.96,Yes,https://stackskb.com/store/akko-v3-lavender-purple-pro-switch-pack-of-45/
Case,print legion,,,1,0,0,Yes,https://printlegion.hackclub.com/
"C1, C2",Capacitor,15p,402,2,0.017,0.034,Yes,https://robu.in/product/gjm1555c1h150gb01d-murata-electronics-50v-15pf-null-%c2%b12-0402-multilayer-ceramic-capacitors-mlcc-smd-smt-rohs/
"C13, C22",Capacitor,10u,805,2,0.05,0.1,No,https://www.lcsc.com/product-detail/C2932476.html
"C14, C15, C16, C17, C18, C19, C20, C23, C24, C25",Capacitor,100n,402,10,0.0074,0.074,No,https://www.lcsc.com/product-detail/C426067.html
"C4, C5, C6",Capacitor,1u,402,3,0.02,0.06,No,https://www.lcsc.com/product-detail/C1518208.html
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D82, D83, D84, D9",Diodes,1N4148W,D_SOD-123,90,0.0073,0.657,Yes,https://robu.in/product/1n4148w-sod-123-1206-diodereel-of-3000/
J2,USB-C,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_XKB_U262-16XN-4BVC11,1,0.06,0.06,No,https://www.lcsc.com/product-detail/C393939.html
"R1, R2",Resistors,5.1k,402,2,0.005,0.01,No,https://www.lcsc.com/product-detail/C278598.html
"R3, R6",Resistors,1k,402,2,0.02,0.04,No,https://www.lcsc.com/product-detail/C427241.html
"R4, R5",Resistors,27,402,2,0.0039,0.0078,No,https://www.lcsc.com/product-detail/C278580.html
U1,MCU,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,2,0.89,1.78,Yes,https://robu.in/product/raspberry-pi-rp2040/
U2,Flash,W25Q128JVS,SOIC-8_5.3x5.3mm_P1.27mm,1,1.1,1.1,No,https://www.lcsc.com/product-detail/C2613930.html
U3,Regulator,AMS1117-3.3,SOT-89-3,1,0.1,0.1,No,https://www.lcsc.com/product-detail/C917152.html
Y1,Crystal Oscillator,Crystal_GND24,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,0.38,0.38,No,https://www.lcsc.com/product-detail/C20625731.html
,,,,,Shipping,0.51,,
,,,,,Total,84.0228,,
