Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,22p,
"C13, C22",0805,2,10u,
"C14, C15, C16, C17, C18, C19, C20, C23, C24, C25",0402,10,100n,
"C4, C5, C6",0402,3,1u,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D82, D83, D84, D9",D_SOD-123,84,1N4148W,
J2,USB_C_Receptacle_XKB_U262-16XN-4BVC11,1,USB_C_Receptacle_USB2.0_16P,
"R1, R2",0402,2,5.1k,
"R3, R6",0402,2,1k,
"R4, R5",0402,2,27,
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW29, SW3, SW31, SW33, SW34, SW35, SW36, SW37, SW38, SW39, SW4, SW40, SW41, SW42, SW43, SW44, SW46, SW48, SW49, SW5, SW50, SW51, SW52, SW53, SW54, SW55, SW56, SW57, SW58, SW6, SW60, SW62, SW63, SW64, SW65, SW66, SW67, SW68, SW69, SW7, SW70, SW71, SW73, SW74, SW79, SW8, SW80, SW81, SW82, SW83, SW84, SW9",SW_Cherry_MX_1.00u_PCB,73,SW_Push,
SW30,SW_Cherry_MX_2.00u_PCB,1,SW_Push,
"SW32, SW45",SW_Cherry_MX_1.50u_PCB,2,SW_Push,
"SW47, SW72",SW_Cherry_MX_1.75u_PCB,2,SW_Push,
"SW59, SW61",SW_Cherry_MX_2.25u_PCB,2,SW_Push,
"SW75, SW76, SW77",SW_Cherry_MX_1.25u_PCB,3,SW_Push,
SW78,SW_Cherry_MX_6.25u_PCB,1,SW_Push,
"TP1, TP2",TestPoint_Pad_1.0x1.0mm,2,TestPoint,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U2,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,
U3,SOT-89-3,1,AMS1117-3.3,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,
