Designator,Mid X,Mid Y,Rotation,Layer
C1,375.37,-84.27,270.0,bottom
C13,365.16,-59.0,90.0,bottom
C14,368.98,-81.77,180.0,bottom
C15,366.45,-70.32,270.0,bottom
C16,366.0,-73.53,180.0,bottom
C17,365.997144,-72.610162,180.0,bottom
C18,378.41,-77.8,0.0,bottom
C19,368.99,-82.72,180.0,bottom
C2,370.16,-84.41,90.0,bottom
C20,377.71,-73.37,0.0,bottom
C22,365.33,-65.32,270.0,bottom
C23,368.6,-83.69,180.0,bottom
C24,367.37,-70.45,270.0,bottom
C25,368.29,-70.45,270.0,bottom
C4,376.12,-58.59,0.0,bottom
C5,366.0,-71.69,180.0,bottom
C6,371.16,-67.45,270.0,bottom
D1,69.05625,-66.675,90.0,bottom
D10,240.50625,-66.675,90.0,bottom
D11,259.55625,-66.675,90.0,bottom
D12,278.60625,-66.675,90.0,bottom
D13,297.65625,-66.675,90.0,bottom
D14,316.70625,-66.675,90.0,bottom
D15,335.75625,-66.675,90.0,bottom
D16,354.80625,-66.675,90.0,bottom
D17,69.05625,-85.725,90.0,bottom
D18,88.10625,-85.725,90.0,bottom
D19,107.15625,-85.725,90.0,bottom
D2,88.10625,-66.675,90.0,bottom
D20,126.20625,-85.725,90.0,bottom
D21,145.25625,-85.725,90.0,bottom
D22,164.30625,-85.725,90.0,bottom
D23,183.35625,-85.725,90.0,bottom
D24,202.40625,-85.725,90.0,bottom
D25,221.45625,-85.725,90.0,bottom
D26,240.50625,-85.725,90.0,bottom
D27,259.55625,-85.725,90.0,bottom
D28,278.60625,-85.725,90.0,bottom
D29,297.65625,-85.725,90.0,bottom
D3,107.15625,-66.675,90.0,bottom
D30,326.23125,-85.725,90.0,bottom
D31,354.80625,-85.725,90.0,bottom
D32,73.81875,-104.775,90.0,bottom
D33,97.63125,-104.775,90.0,bottom
D34,116.68125,-104.775,90.0,bottom
D35,135.73125,-104.775,90.0,bottom
D36,154.78125,-104.775,90.0,bottom
D37,173.83125,-104.775,90.0,bottom
D38,192.88125,-104.775,90.0,bottom
D39,211.93125,-104.775,90.0,bottom
D4,126.20625,-66.675,90.0,bottom
D40,230.98125,-104.775,90.0,bottom
D41,250.03125,-104.775,90.0,bottom
D42,269.08125,-104.775,90.0,bottom
D43,288.13125,-104.775,90.0,bottom
D44,307.18125,-104.775,90.0,bottom
D45,330.99375,-104.775,90.0,bottom
D46,354.80625,-104.775,90.0,bottom
D47,76.2,-123.825,90.0,bottom
D48,102.39375,-123.825,90.0,bottom
D49,121.44375,-123.825,90.0,bottom
D5,145.25625,-66.675,90.0,bottom
D50,140.49375,-123.825,90.0,bottom
D51,159.54375,-123.825,90.0,bottom
D52,178.59375,-123.825,90.0,bottom
D53,197.64375,-123.825,90.0,bottom
D54,216.69375,-123.825,90.0,bottom
D55,235.74375,-123.825,90.0,bottom
D56,254.79375,-123.825,90.0,bottom
D57,273.84375,-123.825,90.0,bottom
D58,292.89375,-123.825,90.0,bottom
D59,323.85,-123.825,90.0,bottom
D6,164.30625,-66.675,90.0,bottom
D60,354.80625,-123.825,90.0,bottom
D61,80.9625,-142.875,90.0,bottom
D62,111.91875,-142.875,90.0,bottom
D63,130.96875,-142.875,90.0,bottom
D64,150.01875,-142.875,90.0,bottom
D65,169.06875,-142.875,90.0,bottom
D66,188.11875,-142.875,90.0,bottom
D67,207.16875,-142.875,90.0,bottom
D68,226.21875,-142.875,90.0,bottom
D69,245.26875,-142.875,90.0,bottom
D7,183.35625,-66.675,90.0,bottom
D70,264.31875,-142.875,90.0,bottom
D71,283.36875,-142.875,90.0,bottom
D72,309.5625,-142.875,90.0,bottom
D73,335.75625,-142.875,90.0,bottom
D74,354.80625,-142.875,90.0,bottom
D75,71.4375,-161.925,90.0,bottom
D76,95.25,-161.925,90.0,bottom
D77,119.0625,-161.925,90.0,bottom
D78,190.5,-161.925,90.0,bottom
D79,259.55625,-161.925,90.0,bottom
D8,202.40625,-66.675,90.0,bottom
D80,278.60625,-161.925,90.0,bottom
D81,297.65625,-161.925,90.0,bottom
D82,317.15,-161.925,90.0,bottom
D83,335.75625,-161.925,90.0,bottom
D84,354.80625,-161.925,90.0,bottom
D9,221.45625,-66.675,90.0,bottom
H1,102.82,-136.98,0.0,top
H2,83.1,-71.93,0.0,top
H3,312.18,-72.48,0.0,top
H4,328.34,-138.43,0.0,top
J2,371.77806,-53.371594,180.0,bottom
R1,374.16,-58.84,180.0,bottom
R2,370.58,-58.86,180.0,bottom
R3,371.8,-82.02,180.0,bottom
R4,369.3,-68.9,270.0,bottom
R5,370.238545,-68.904263,270.0,bottom
R6,380.27,-63.81,90.0,bottom
SW1,73.66,-60.14,0.0,top
SW10,245.11,-60.14,0.0,top
SW11,264.16,-60.14,0.0,top
SW12,283.21,-60.14,0.0,top
SW13,302.26,-60.14,0.0,top
SW14,321.31,-60.14,0.0,top
SW15,340.36,-60.14,0.0,top
SW16,359.41,-60.14,0.0,top
SW17,73.66,-79.19,0.0,top
SW18,92.71,-79.19,0.0,top
SW19,111.76,-79.19,0.0,top
SW2,92.71,-60.14,0.0,top
SW20,130.81,-79.19,0.0,top
SW21,149.86,-79.19,0.0,top
SW22,168.91,-79.19,0.0,top
SW23,187.96,-79.19,0.0,top
SW24,207.01,-79.19,0.0,top
SW25,226.06,-79.19,0.0,top
SW26,245.11,-79.19,0.0,top
SW27,264.16,-79.19,0.0,top
SW28,283.21,-79.19,0.0,top
SW29,302.26,-79.19,0.0,top
SW3,111.76,-60.14,0.0,top
SW30,330.835,-82.1375,0.0,top
SW31,359.41,-79.19,0.0,top
SW32,78.4225,-98.24,0.0,top
SW33,102.235,-98.24,0.0,top
SW34,121.285,-98.24,0.0,top
SW35,140.335,-98.24,0.0,top
SW36,159.385,-98.24,0.0,top
SW37,178.435,-98.24,0.0,top
SW38,197.485,-98.24,0.0,top
SW39,216.535,-98.24,0.0,top
SW4,130.81,-60.14,0.0,top
SW40,235.585,-98.24,0.0,top
SW41,254.635,-98.24,0.0,top
SW42,273.685,-98.24,0.0,top
SW43,292.735,-98.24,0.0,top
SW44,311.785,-98.24,0.0,top
SW45,335.5975,-98.24,0.0,top
SW46,359.41,-98.24,0.0,top
SW47,80.80375,-117.29,0.0,top
SW48,106.9975,-117.29,0.0,top
SW49,126.0475,-117.29,0.0,top
SW5,149.86,-60.14,0.0,top
SW50,145.0975,-117.29,0.0,top
SW51,164.1475,-117.29,0.0,top
SW52,183.1975,-117.29,0.0,top
SW53,202.2475,-117.29,0.0,top
SW54,221.2975,-117.29,0.0,top
SW55,240.3475,-117.29,0.0,top
SW56,259.3975,-117.29,0.0,top
SW57,278.4475,-117.29,0.0,top
SW58,297.4975,-117.29,0.0,top
SW59,328.45375,-120.2375,0.0,top
SW6,168.91,-60.14,0.0,top
SW60,359.41,-117.29,0.0,top
SW61,85.56625,-139.2875,0.0,top
SW62,116.5225,-136.34,0.0,top
SW63,135.5725,-136.34,0.0,top
SW64,154.6225,-136.34,0.0,top
SW65,173.51375,-136.34,0.0,top
SW66,192.56375,-136.34,0.0,top
SW67,211.7725,-136.34,0.0,top
SW68,230.8225,-136.34,0.0,top
SW69,249.8725,-136.34,0.0,top
SW7,187.96,-60.14,0.0,top
SW70,268.9225,-136.34,0.0,top
SW71,287.9725,-136.34,0.0,top
SW72,314.16625,-136.34,0.0,top
SW73,340.36,-136.34,0.0,top
SW74,359.41,-136.34,0.0,top
SW75,76.04125,-155.39,0.0,top
SW76,99.85375,-155.39,0.0,top
SW77,123.66625,-155.39,0.0,top
SW78,195.10375,-158.3375,0.0,top
SW79,264.16,-155.39,0.0,top
SW8,207.01,-60.14,0.0,top
SW80,283.21,-155.39,0.0,top
SW81,302.26,-155.39,0.0,top
SW82,321.31,-155.39,0.0,top
SW83,340.36,-155.39,0.0,top
SW84,359.41,-155.39,0.0,top
SW9,226.06,-60.14,0.0,top
TP1,378.4,-62.79,180.0,bottom
TP2,376.38,-62.79325,180.0,bottom
U1,372.0875,-76.58,90.0,bottom
U2,376.9,-67.88,270.0,bottom
U3,369.28,-62.41,0.0,bottom
Y1,372.8,-84.28,0.0,bottom
